2026/09/17 19:08:19.375, 43, 3.47 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:21.443, 43, 3.58 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:23.513, 43, 3.58 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:25.582, 43, 3.52 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:27.652, 43, 3.82 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:29.719, 43, 3.54 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:31.788, 43, 3.48 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:33.854, 43, 3.55 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:35.925, 43, 3.48 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:37.992, 43, 3.45 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:40.062, 43, 3.67 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:42.133, 43, 3.79 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:44.202, 43, 3.59 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:46.270, 43, 3.55 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:48.339, 43, 3.54 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:50.405, 43, 3.59 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:52.475, 43, 3.62 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:54.541, 43, 3.43 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:56.617, 43, 3.51 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:08:58.685, 42, 3.79 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:09:00.754, 42, 3.42 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:09:02.829, 44, 21.40 W, 0 %, 176 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:04.869, 45, 29.57 W, 14 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:06.904, 44, 21.65 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:08.945, 45, 21.69 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:10.984, 45, 21.65 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:13.024, 45, 21.65 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:15.062, 45, 21.61 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:17.103, 45, 21.67 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:19.141, 45, 21.62 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:21.180, 45, 8.40 W, 0 %, 3798 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:09:23.249, 45, 21.66 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:25.290, 45, 21.67 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:27.326, 46, 21.68 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:29.364, 46, 21.73 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:31.402, 46, 21.75 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:33.441, 46, 21.73 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:35.480, 46, 21.74 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:37.518, 46, 21.74 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:39.555, 46, 21.69 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:41.597, 47, 21.84 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
2026/09/17 19:09:43.635, 47, 21.82 W, 0 %, 3798 MiB, 0x0000000000000000, Not Active, Not Active
